Pricing is Per SQ,,,,R&R,R&R,R&R,R&R,R&R,,R&R,R&R,COMPONENTS>,Remove,Remove,Remove ,Remove,Install,R&R,R&R,R&R,,DUMP / PERMIT >,Per Area,Per Area
STATE,CITY/AREA,USA REGION,ZIP,LAMINATE AR,STANDING SEAM,CONCRETE TILE,CLAY TILE(Barrel),MOD BIT,COATING,26ga R-Panel,"TPO - 60mil, includes 1/2"" fiberboard",>>,"Wood Shake:Tear off, Haul, and Dispose","Add. Layer Felt:Tear off, Haul, and Dispose","Layer of Shingles & Felt:Tear off, Haul, and Dispose",Layer of Metal: No haul off,"Sheathing 1/2"" OSB+Clips",STEEP 7/12-9/12,STEEP 10/12-12/12,TWO STORY,BASIC PER SQ AVE,>>,Additional Disposal Fees - 30YD Dumpster,Additional Permit Fees
Alabama,Birmingham,South,35233,487.27,"1,424.38","1,013.20","1,475.06",557.27,661.80,990.47,765.93,,63.60,7.51,34.95,54.00,207.70,30.00,50.00,25.00,,,541.40,
,Gulf Shores,South,36542,533.56,"1,562.57","1,112.42","1,574.75",603.56,643.38,"1,082.66",757.72,,71.12,8.50,38.26,61.00,232.80,30.00,50.00,25.00,,,503.00,
Alaska,,West,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,,No Service,No Service
Arizona,Phoenix,West,85003,509.31,"1,342.36",951.54,"1,346.70",579.31,602.68,966.41,707.62,,70.45,8.24,39.21,58.00,201.81,30.00,50.00,25.00,,,679.94,
,Tucson,West,85701,496.20,"1,418.19",980.12,"1,303.96",566.20,622.85,"1,016.13",709.80,,63.59,7.52,34.83,54.00,213.78,30.00,50.00,25.00,,,635.00,
Arkansas,Little Rock,South,72201,500.00,"1,206.18",868.94,"1,318.09",570.00,560.07,905.53,643.25,,59.79,6.97,33.49,50.00,162.88,30.00,50.00,25.00,,,646.32,
California,Sacramento,West,95814,675.00,"2,358.95","1,554.15","1,851.89",745.00,882.56,"1,658.31",986.00,,96.84,10.15,46.98,72.00,373.17,30.00,50.00,25.00,,,"1,140.00",
,Los Angeles,West,90014,675.00,"1,949.66","1,271.71","1,489.65",745.00,765.99,"1,321.03",879.83,,85.58,9.95,48.06,70.00,294.46,30.00,50.00,25.00,,,780.00,
,Santa Ana,West,92701,675.00,"1,879.53","1,203.56","1,436.16",745.00,741.98,"1,277.38",866.40,,85.87,9.99,48.21,70.00,283.39,30.00,50.00,25.00,,,880.00,
,San Diego,West,92101,675.00,"2,142.21","1,425.18","1,640.45",745.00,779.69,"1,449.00",905.66,,96.85,10.63,58.91,72.00,322.73,30.00,50.00,25.00,,,993.83,
Colorado,Denver,West,80202,550.00,2026.68,"1,463.89","1,805.99",620.00,826.30,"1,397.12",929.92,,86.74,9.81,50.73,69.00,323.11,30.00,50.00,25.00,,,610.88,
,Pueblo,West,81003,550.00,"1,327.52",978.56,"1,263.76",620.00,626.37,935.56,743.50,,69.73,8.18,38.59,59.00,193.25,30.00,50.00,25.00,,,560.00,
Connecticut,Hartford,Northeast,06103,669.30,"1,926.95","1,408.72","1,956.90",739.30,757.38,"1,336.93",890.02,,97.6,10.72,59.29,72.00,315.38,30.00,50.00,25.00,,,910.00,
,Greenwich,Northeast,06830,690.72,"1,994.24","1,452.95","2,001.33",760.72,728.75,"1,382.22",854.71,,109.37,10.91,68.43,74.00,326.32,30.00,50.00,25.00,,,"1,001.14",
