Pricing is Per SQ,,,XACTIMATE,R&R,R&R,R&R,R&R,R&R,,COMPONENT>,Remove,Remove,Remove ,Remove,Install,R&R,R&R,R&R,,DUMP / PERMIT >,Per Area,Per Area
STATE,CITY/AREA,USA REGION,ZIP,LAMINATE AR,STANDING SEAM,CONCRETE TILE,CLAY TILE(Barrel),MOD BIT,COATING,,"Wood Shake:Tear off, Haul, and Dispose","Add. Layer Felt:Tear off, Haul, and Dispose","Layer of Shingles & Felt:Tear off, Haul, and Dispose",Layer of Metal: No haul off,"Sheathing 1/2"" OSB+Clips",STEEP 7/12-9/12,STEEP 10/12-12/12,TWO STORY,BASIC PER SQ AVE,,Additional Disposal Fees - 30YD Dumpster,Additional Permit Fees
Alabama,Birmingham,South,35233,484.47,"1,407.60",987.95,"1,371.83",584.47,653.42,,63.12,7.44,34.70,53.00,211.20,25.00,50.00,20.00,,,541.40,
,Gulf Shores,South,36542,530.79,"1,547.73","1,087.12","1,471.42",630.79,637.04,,70.46,8.42,37.95,61.00,236.30,25.00,50.00,20.00,,,503.00,
Alaska,,West,No Service,No Service,No Service,No Service,No Service,#VALUE!,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service,No Service
Arizona,Phoenix,West,85003,505.91,"1,327.60",928.35,"1,276.47",605.91,598.17,,69.42,8.12,38.69,58.00,205.24,25.00,50.00,20.00,,,679.94,
,Tucson,West,85701,505.91,"1,404.71",957.43,"1,225.94",605.91,615.36,,62.63,7.40,34.36,53.00,233.33,25.00,50.00,20.00,,,635.00,
Arkansas,Little Rock,South,72201,455.00,"1,189.06",842.43,"1,146.04",555.00,554.63,,58.47,6.80,32.83,48.00,167.22,25.00,50.00,20.00,,,620.41,
California,Sacramento,West,95814,710.00,"2,348.28","1,535.94","1,783.83",820.00,873.56,,96.83,9.96,46.21,71.00,395.01,25.00,50.00,20.00,,,"1,140.00",
,Los Angeles,West,90014,665.00,"1,927.29","1,242.81","1,421.28",765.00,752.85,,84.01,9.76,47.28,69.00,300.03,25.00,50.00,20.00,,,780.00,
,Santa Ana,West,92701,665.00,"1,856.92","1,175.88","1,367.42",765.00,734.02,,84.34,9.80,47.44,69.00,287.04,25.00,50.00,20.00,,,880.00,
,San Diego,West,92101,679.38,"2,121.96","1,397.67","1,574.10",779.38,770.13,,95.05,10.40,58.00,70.00,327.12,25.00,50.00,20.00,,,993.83,
Colorado,Denver,West,80202,650.00,2011.8,"1,435.30","1,716.43",750.00,815.07,,86.11,9.73,50.42,67.00,326.55,25.00,50.00,20.00,,,610.88,
,Pueblo,West,81003,505.00,"1,309.31",948.57,"1,181.39",605.00,621.75,,68.82,8.07,38.14,57.00,215.93,25.00,50.00,20.00,,,560.00,
Connecticut,Hartford,Northeast,06103,668.16,"1,920.76","1,386.11","1,842.74",768.16,752.41,,96.92,10.64,58.95,72.00,320.77,25.00,50.00,20.00,,,910.00,
,Greenwich,Northeast,06830,690.16,"1,986.82","1,430.36","1,887.18",790.16,723.75,,109.37,10.83,68.43,73.00,331.70,25.00,50.00,20.00,,,"1,001.14",
Delaware,Wilmington,Northeast,19803,629.80,"1,886.99","1,306.53","1,736.08",729.80,691.74,,80.10,8.88,49.67,61.00,290.00,25.00,50.00,20.00,,,828.00,
,Dover,Northeast,19904,552.09,"1,630.93","1,140.31","1,568.97",652.09,671.28,,78.52,8.85,46.13,61.00,255.00,25.00,50.00,20.00,,,878.40,
Florida,Orlando,South,32801,631.10,"1,600.00","1,320.52","1,474.75",731.10,806.18,,82.22,9.81,44.38,70.00,319.75,25.00,50.00,20.00,,,670.00,
,Pensacola,South,32501,578.05,"1,567.59","1,444.03","1,678.34",678.05,646.06,,76.08,8.98,41.71,64.00,301.95,25.00,50.00,20.00,,,660.00,
